listing_id,sme_id,country,city,waste_category,waste_item,volume_kg,contamination_risk,ai_routing_score,recommended_recycler_id,match_status,total_co2_offset,status,pH,created_at,waste_type_id,subcategory_id,toxicity_level,recommended_handling,storage_risk_level,documentation_status,regulatory_category,recycler_id,business_name,main_speciality,waste_types_accepted,capacity_kg_per_day,current_load_kg,country_recycler,city_recycler,gps_lat,gps_lng,certification_level,processing_efficiency,city_match,country_match,waste_category_match,estimated_distance,ai_explanation,net_climate_impact
1,1,Kenya,Nakuru,Liquid,Greywater,131.65,Low,12.000000000000002,3,Matched,43.85,Closed,10.12,2025-10-21 08:31:58,3,10,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous,3,Ruiz-Austin,Organic,"['Wastewater', 'E-waste', 'Food Scraps']",3956,1464,Kenya,Mombasa,-4.010711,39.686254,Advanced,0.82,0,1,0,20,Recycler is in the same country; Low contamination risk,8.98
1,1,Kenya,Nakuru,Liquid,Greywater,131.65,Low,12.000000000000002,3,Matched,43.85,Closed,10.12,2025-10-21 08:31:58,3,10,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous,3,Ruiz-Austin,Organic,"['Wastewater', 'E-waste', 'Food Scraps']",3956,1464,Kenya,Mombasa,-4.010711,39.686254,Advanced,0.82,0,1,0,20,Recycler is in the same country; Low contamination risk,-0.32
2,1,Kenya,Nakuru,Others,Miscellaneous,11.18,High,0.0,29,Matched,1.87,Open,6.77,2026-03-05 11:51:58,4,16,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,29,Edwards Ltd,Liquid,"['Textiles', 'Construction debris', 'E-waste']",2131,1088,Nigeria,Ibadan,7.373038,3.996125,None,0.98,0,0,0,100,,8.98
2,1,Kenya,Nakuru,Others,Miscellaneous,11.18,High,0.0,29,Matched,1.87,Open,6.77,2026-03-05 11:51:58,4,16,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,29,Edwards Ltd,Liquid,"['Textiles', 'Construction debris', 'E-waste']",2131,1088,Nigeria,Ibadan,7.373038,3.996125,None,0.98,0,0,0,100,,-0.32
3,2,Kenya,Kisumu,Solid,Textiles/Used Clothing,272.27,High,25.0,17,Matched,307.59,Closed,6.54,2026-01-16 06:33:27,2,8,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,17,Combs-Davis,Solid,"['E-waste', 'PET Bottles', 'Textiles']",4389,1959,Kenya,Kisumu,-0.053664,34.731662,Basic,0.76,1,1,1,5,Recycler is in the same city; Recycler specializes in this waste category,3.75
3,2,Kenya,Kisumu,Solid,Textiles/Used Clothing,272.27,High,25.0,17,Matched,307.59,Closed,6.54,2026-01-16 06:33:27,2,8,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,17,Combs-Davis,Solid,"['E-waste', 'PET Bottles', 'Textiles']",4389,1959,Kenya,Kisumu,-0.053664,34.731662,Basic,0.76,1,1,1,5,Recycler is in the same city; Recycler specializes in this waste category,10.32
4,2,Kenya,Kisumu,Organic,Market Waste,397.55,High,16.5,57,Matched,279.77,Closed,5.6,2026-01-18 08:40:57,1,3,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,57,"Brooks, Jenkins and Castro",Organic,"['PET Bottles', 'E-waste', 'Wastewater']",4103,2996,Kenya,Eldoret,0.543226,35.276415,Advanced,0.88,0,1,1,20,Recycler is in the same country; Recycler specializes in this waste category,3.75
4,2,Kenya,Kisumu,Organic,Market Waste,397.55,High,16.5,57,Matched,279.77,Closed,5.6,2026-01-18 08:40:57,1,3,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,57,"Brooks, Jenkins and Castro",Organic,"['PET Bottles', 'E-waste', 'Wastewater']",4103,2996,Kenya,Eldoret,0.543226,35.276415,Advanced,0.88,0,1,1,20,Recycler is in the same country; Recycler specializes in this waste category,10.32
5,3,Nigeria,Lagos,Liquid,Used Cooking Oil,448.18,Medium,14.0,1,Matched,71.67,Closed,7.15,2025-10-10 23:15:09,3,9,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,Regulated,1,Carpenter-Nguyen,Solid,"['Construction debris', 'Food Scraps', 'Textiles']",4556,591,Nigeria,Abuja,9.109914,7.438097,None,0.9,0,1,0,20,Recycler is in the same country,17.82
5,3,Nigeria,Lagos,Liquid,Used Cooking Oil,448.18,Medium,14.0,1,Matched,71.67,Closed,7.15,2025-10-10 23:15:09,3,9,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,Regulated,1,Carpenter-Nguyen,Solid,"['Construction debris', 'Food Scraps', 'Textiles']",4556,591,Nigeria,Abuja,9.109914,7.438097,None,0.9,0,1,0,20,Recycler is in the same country,-1.43
