listing_id,sme_id,country,city,waste_category,waste_item,volume_kg,contamination_risk,ai_routing_score,recommended_recycler_id,match_status,total_co2_offset,status,pH,created_at,waste_type_id,subcategory_id,toxicity_level,recommended_handling,storage_risk_level,documentation_status,regulatory_category
1,1,Kenya,Nakuru,Liquid,Greywater,131.65,Low,,3,Matched,43.85,Closed,10.12,2025-10-13 14:54:39,3,10,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous
2,1,Kenya,Nakuru,Others,Miscellaneous,11.18,High,,29,Matched,1.87,Open,6.77,2026-02-25 18:14:39,4,16,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
3,2,Kenya,Kisumu,Solid,Textiles/Used Clothing,272.27,High,,17,Matched,307.59,Closed,6.54,2026-01-08 12:56:08,2,8,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
4,2,Kenya,Kisumu,Organic,Market Waste,397.55,High,,57,Matched,279.77,Closed,5.6,2026-01-10 15:03:38,1,3,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
5,3,Nigeria,Lagos,Liquid,Used Cooking Oil,448.18,Medium,,1,Matched,71.67,Closed,7.15,2025-10-03 05:37:50,3,9,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,Regulated
6,3,Nigeria,Lagos,Organic,Livestock Manure,275.5,Low,,3,Matched,218.74,In Progress,6.19,2025-10-14 09:53:09,1,4,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General
7,4,Nigeria,Ibadan,Organic,Market Waste,104.37,Low,,54,Matched,93.48,In Progress,5.57,2025-10-26 20:49:15,1,3,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General
8,4,Nigeria,Ibadan,Liquid,Industrial Effluent,447.66,High,,34,Unmatched,84.7,Open,5.39,2025-11-14 09:38:16,3,11,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
9,5,Nigeria,Lagos,Liquid,Used Cooking Oil,299.74,Low,,7,Unmatched,98.59,Open,2.38,2025-12-17 16:20:08,3,9,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
10,5,Nigeria,Lagos,Liquid,Used Cooking Oil,288.51,Low,,58,Unmatched,30.01,Closed,6.18,2026-03-03 23:26:30,3,9,Low,Store safely and avoid uncontrolled disposal.,Normal,In Progress,Regulated
11,6,Kenya,Mombasa,Others,E-waste,416.44,Low,,44,Unmatched,60.76,Closed,7.28,2025-12-27 12:33:31,4,13,Low,Store safely and avoid uncontrolled disposal.,Normal,Completed,Regulated
12,6,Kenya,Mombasa,Organic,Livestock Manure,433.34,Low,,40,Unmatched,220.6,Open,5.79,2025-11-20 15:38:01,1,4,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,In Progress,General
13,7,Nigeria,Ibadan,Solid,LDPE 'Sachet' Water Bags,348.22,Low,,10,Matched,222.44,Open,6.82,2025-09-29 08:36:00,2,6,Low,"Keep clean and dry, avoid burning, store in bags or bales.",Normal,Completed,General
14,7,Nigeria,Ibadan,Organic,Market Waste,48.73,High,,23,Unmatched,21.73,In Progress,6.69,2026-03-16 17:17:11,1,3,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
15,8,Kenya,Kisumu,Liquid,Septage/Sewage,437.13,Medium,,41,Matched,103.65,In Progress,9.59,2026-01-09 05:14:29,3,12,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,Regulated
16,8,Kenya,Kisumu,Organic,Food Scraps,149.85,Medium,,37,Unmatched,59.69,Open,6.15,2026-02-10 08:13:30,1,1,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,General
17,9,Kenya,Nairobi,Organic,Market Waste,59.21,Low,,46,Unmatched,27.1,Closed,5.54,2025-11-28 11:42:16,1,3,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General
18,9,Kenya,Nairobi,Organic,Market Waste,444.97,Low,,18,Unmatched,231.24,Open,6.54,2025-10-03 16:40:37,1,3,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Not Started,General
19,10,Kenya,Eldoret,Organic,Agricultural Residue,56.07,Low,,24,Unmatched,37.12,Open,5.37,2025-09-17 19:19:28,1,2,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General
20,10,Kenya,Eldoret,Organic,Market Waste,167.09,High,,55,Matched,31.68,Closed,5.79,2025-12-05 00:42:11,1,3,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous
21,11,Nigeria,Lagos,Solid,PET Bottles,163.02,High,,53,Unmatched,100.91,Open,7.46,2026-01-18 13:31:48,2,5,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
22,11,Nigeria,Lagos,Liquid,Greywater,340.91,High,,8,Matched,88.87,In Progress,6.74,2026-03-13 01:56:24,3,10,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
23,12,Nigeria,Abuja,Organic,Market Waste,309.84,High,,59,Unmatched,95.43,Open,5.75,2025-11-08 14:16:59,1,3,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
24,12,Nigeria,Abuja,Liquid,Used Cooking Oil,476.42,Low,,16,Matched,74.7,Open,6.36,2025-12-06 00:15:13,3,9,Low,Store safely and avoid uncontrolled disposal.,Normal,Completed,Regulated
25,13,Nigeria,Abuja,Liquid,Industrial Effluent,240.31,Medium,,48,Unmatched,60.17,Open,4.31,2025-10-20 11:32:19,3,11,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,Regulated
